"","Color_label_source","Subject","Chain","Generation","Condition","Confidence","Color_label_matched","Language.x","Age.x","Gender.x","Language_spoken.x","rt","Condition_label.x","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat","Condition_label.y","basic_colors","creative_name","Language.y","Hue_color_to_name","Saturation_color_to_name","Lightness_color_to_name","Vision_impairments","Age.y","Gender.y","Language_spoken.y","Participated_before"
"135","seed græsgrøn","pwy0","1",11,"2",3,"seed grass green","Danish","21","male","dansk",18680,"Naming transmission",50,50,48,50,132,136,136.5,117.98,0.5,2.69978401727862,4,2,"Naming transmission","green","græsgrøn","Danish",136,50,50,"no","21","male","dansk","no"
"136","seed græsgrøn","px2q","2",5,"1",5,"seed grass green","Danish","22","female","dansk",29860,"Pure transmission",50,50,69,61,126,121,136.5,117.98,15.5,83.6933045356372,5,8,"Pure transmission","green","skrigende grøn","Danish",121,61,50,"no","22","female","dansk","no"
"137","seed græsgrøn","q135","2",3,"2",2,"seed grass green","Danish","21","male","Dansk",32269,"Naming transmission",50,50,57,58,96,107,136.5,117.98,29.5,159.287257019438,11,1,"Naming transmission","green","Grøn","Danish",107,58,50,"no","21","male","Dansk","no"
"138","seed græsgrøn","qgmv","1",7,"1",6,"seed grass green","Danish","26","male","Dansk",14150,"Pure transmission",50,50,64,69,126,135,136.5,117.98,1.5,8.09935205183585,9,5,"Pure transmission","green","Lysegrøn","Danish",135,69,50,"no","26","male","Dansk","no"
"139","seed græsgrøn","qmv3","0",4,"2",5,"seed grass green","Danish","25","female","dansk",8766,"Naming transmission",50,50,36,39,115,116,136.5,117.98,20.5,110.691144708423,1,3,"Naming transmission","green","forårsgræs","Danish",116,39,50,"no","25","female","dansk","no"
"140","seed græsgrøn","qvhj","2",2,"2",5,"seed grass green","Danish","30","male","Danskfransk",17128,"Naming transmission",50,50,53,57,103,96,136.5,117.98,40.5,218.682505399568,7,4,"Naming transmission","green","Mørkegrøn","Danish",96,57,50,"no","30","male","Danskfransk","no"
"141","seed græsgrøn","r6m7","3",11,"2",3,"seed grass green","Danish","35","male","dansk",11486,"Naming transmission",50,50,50,56,105,128,136.5,117.98,8.5,45.8963282937365,23,6,"Naming transmission","green","grøn","Danish",128,56,50,"no","35","male","dansk","no"
"142","seed græsgrøn","r8j7","4",5,"2",6,"seed grass green","Danish","22","female","Dansk",6236,"Naming transmission",50,50,85,85,110,108,136.5,117.98,28.5,153.887688984881,2,0,"Naming transmission","green","neongrøn","Danish",108,85,50,"no","22","female","Dansk","no"
"143","seed græsgrøn","s7h6","5",1,"1",4,"seed grass green","Danish","27","female","Dansk",18962,"Pure transmission",50,50,63,53,108,100,136.5,117.98,36.5,197.084233261339,8,10,"Pure transmission","green","Grøn","Danish",100,53,50,"no","27","female","Dansk","no"
"144","seed græsgrøn","sfda","3",1,"1",5,"seed grass green","Danish","26","female","Dansk",31478,"Pure transmission",50,50,59,51,129,127,136.5,117.98,9.5,51.2958963282938,2,8,"Pure transmission","green","Grøn","Danish",127,51,50,"no","26","female","Dansk","no"
"145","seed græsgrøn","sfry","3",13,"2",4,"seed grass green","Danish","20","female","Dansk",5897,"Naming transmission",50,50,69,63,111,95,136.5,117.98,41.5,224.082073434125,16,6,"Naming transmission","green","Giftgrøn","Danish",95,63,50,"no","20","female","Dansk","no"
"146","seed græsgrøn","sm07","3",0,"2",6,"seed grass green","Danish","22","male","Dansk",5076,"Naming transmission",50,50,60,55,117.98,132,136.5,117.98,4.5,24.2980561555076,14.02,5,"Naming transmission","green","grøn","Danish",132,55,50,"no","22","male","Dansk","no"
"147","seed græsgrøn","sqtn","4",10,"1",6,"seed grass green","Danish","24","female","Dansk",6462,"Pure transmission",50,50,58,53,118,124,136.5,117.98,12.5,67.4946004319655,6,5,"Pure transmission","green","Giftig grøn","Danish",124,53,50,"no","24","female","Dansk","no"
"148","seed græsgrøn","st8l","0",14,"1",4,"seed grass green","Danish","21","male","Dansk",24053,"Pure transmission",50,50,42,40,109,98,136.5,117.98,38.5,207.883369330454,11,2,"Pure transmission","green","tørgrøn","Danish",98,40,50,"no","21","male","Dansk","no"
"149","seed græsgrøn","thuf","3",5,"1",3,"seed grass green","Danish","26","male","Dansk",36677,"Pure transmission",50,50,58,54,128,116,136.5,117.98,20.5,110.691144708423,12,4,"Pure transmission","green","grøn","Danish",116,54,50,"no","26","male","Dansk","no"
"150","seed græsgrøn","tupe","0",0,"2",4,"seed grass green","Danish","27","female","Dansk",9285,"Naming transmission",50,50,60,40,117.98,110,136.5,117.98,26.5,143.088552915767,7.98,20,"Naming transmission","green","Klar grøn","Danish",110,40,50,"no","27","female","Dansk","no"
"151","seed græsgrøn","tyuw","0",2,"1",3,"seed grass green","Danish","23","male","DanskogBosnisk",13995,"Pure transmission",50,50,62,75,117,132,136.5,117.98,4.5,24.2980561555076,15,13,"Pure transmission","green","Grøn","Danish",132,75,50,"no","23","male","DanskogBosnisk","no"
"152","seed græsgrøn","u69f","3",2,"1",5,"seed grass green","Danish","25","male","Ungarsk",16540,"Pure transmission",50,50,51,59,127,123,136.5,117.98,13.5,72.8941684665227,4,8,"Pure transmission","green","lysgrøn","Danish",123,59,50,"no","25","male","Ungarsk","no"
"153","seed græsgrøn","u8xc","1",10,"1",5,"seed grass green","Danish","48","female","dansk",18569,"Pure transmission",50,50,61,73,137,143,136.5,117.98,-6.5,-35.097192224622,6,12,"Pure transmission","green","grøn","Danish",143,73,50,"no","48","female","dansk","no"
"154","seed græsgrøn","uex5","1",5,"2",6,"seed grass green","Danish","31","male","Dansk",8178,"Naming transmission",50,50,72,59,97,99,136.5,117.98,37.5,202.483801295896,2,13,"Naming transmission","green","græsgrøn","Danish",99,59,50,"no","31","male","Dansk","no"
"155","seed græsgrøn","uf5t","0",6,"1",4,"seed grass green","Danish","22","male","dansk",28833,"Pure transmission",50,50,66,74,92,117,136.5,117.98,19.5,105.291576673866,25,8,"Pure transmission","green","Skriggrøn","Danish",117,74,50,"no","22","male","dansk","no"
"156","seed græsgrøn","uhn5","4",3,"2",5,"seed grass green","Danish","29","female","Dansk",11439,"Naming transmission",50,50,70,67,115,123,136.5,117.98,13.5,72.8941684665227,8,3,"Naming transmission","green","grøn","Danish",123,67,50,"no","29","female","Dansk","no"
"157","seed græsgrøn","uktv","4",13,"2",5,"seed grass green","Danish","23","female","dansk",16118,"Naming transmission",50,50,69,52,113,118,136.5,117.98,18.5,99.8920086393089,5,17,"Naming transmission","green","grøn","Danish",118,52,50,"no","23","female","dansk","no"
"158","seed græsgrøn","uwaz","2",5,"2",5,"seed grass green","Danish","39","female","dansker",20902,"Naming transmission",50,50,59,64,113,105,136.5,117.98,31.5,170.086393088553,8,5,"Naming transmission","green","sommergrøn","Danish",105,64,50,"no","39","female","dansker","no"
"159","seed græsgrøn","uzbn","3",9,"1",5,"seed grass green","Danish","21","female","dansk",35410,"Pure transmission",50,50,51,60,127,130,136.5,117.98,6.5,35.097192224622,3,9,"Pure transmission","green","kølig grøn","Danish",130,60,50,"no","21","female","dansk","no"
"160","seed græsgrøn","v4er","1",0,"1",5,"seed grass green","Danish","26","male","dansk",10300,"Pure transmission",50,50,60,60,117.98,114,136.5,117.98,22.5,121.490280777538,3.98,0,"Pure transmission","green","Skovgrøn","Danish",114,60,50,"no","26","male","dansk","no"
"161","seed græsgrøn","v83p","1",9,"2",5,"seed grass green","Danish","23","male","Dansk",10190,"Naming transmission",50,50,56,46,142,135,136.5,117.98,1.5,8.09935205183585,7,10,"Naming transmission","green","Græs grøn","Danish",135,46,50,"no","23","male","Dansk","no"
"162","seed græsgrøn","vqk6","1",2,"1",0,"seed grass green","Danish","22","male","Dansk",90004,"Pure transmission",50,50,65,71,135,131,136.5,117.98,5.5,29.6976241900648,4,6,"Pure transmission","green","blå-grøn","Danish",131,71,50,"no","22","male","Dansk","no"
"163","seed græsgrøn","vxj2","3",13,"1",5,"seed grass green","Danish","24","female","somalisk",14544,"Pure transmission",50,50,66,60,86,84,136.5,117.98,52.5,283.477321814255,2,6,"Pure transmission","green","jalousi","Danish",84,60,50,"no","24","female","somalisk","no"
"164","seed græsgrøn","wdf1","0",10,"2",4,"seed grass green","Danish","21","female","Dansk",15991,"Naming transmission",50,50,76,74,131,115,136.5,117.98,21.5,116.090712742981,16,2,"Naming transmission","green","bøgeskovs grøn","Danish",115,74,50,"no","21","female","Dansk","no"
"165","seed græsgrøn","wfl9","1",4,"2",5,"seed grass green","Danish","33","male","Dansk",11824,"Naming transmission",50,50,67,72,108,97,136.5,117.98,39.5,213.282937365011,11,5,"Naming transmission","green","græsgrøn","Danish",97,72,50,"no","33","male","Dansk","no"
